28,23,28,24,31,35,31,41,22,38,46,32,41,45,35,34,39,33,76,55,35,38,48,52,44,41
29,26,27,23,39,34,28,40,34,35,33,46,31,47,33,20,71,45,35,46,45,35,50,60,67,43
31,31,20,24,28,29,24,27,24,29,30,33,40,36,34,31,29,28,37,41,44,38,45,41,45,47
31,24,24,20,24,29,24,28,27,33,30,34,38,36,33,42,38,40,39,35,38,35,48,60,63,53
37,38,33,24,22,31,27,28,29,36,30,35,39,36,31,41,41,57,41,49,56,43,39,47,52,53
40,35,29,31,33,20,26,32,33,27,25,21,23,28,29,27,42,32,34,31,25,34,32,45,52,42
32,33,27,28,28,23,20,29,24,24,24,23,29,26,30,34,43,30,34,32,32,41,30,38,39,37
41,39,25,25,32,32,26,25,25,22,28,37,39,39,34,28,31,45,51,50,42,41,57,53,48,47
24,34,23,24,40,30,25,27,19,22,26,33,39,34,31,26,34,29,40,37,43,50,43,38,47,49
39,29,30,29,38,25,20,27,22,20,23,25,34,38,27,25,37,25,35,37,37,45,41,46,40,48
50,47,30,31,33,23,24,28,26,23,20,23,25,24,26,22,30,31,30,28,29,37,31,36,37,33
35,40,35,33,33,22,27,36,34,27,25,18,20,20,24,31,35,29,30,27,23,28,27,41,36,31
46,49,42,39,42,23,30,39,40,34,27,21,18,20,28,33,40,32,33,25,21,27,31,38,40,33
44,39,40,34,46,25,26,35,38,27,23,18,19,15,19,25,35,34,20,20,23,27,22,34,31,29
49,52,35,35,43,30,29,32,32,29,24,24,29,20,21,24,26,28,26,27,27,32,25,30,34,39
36,33,32,41,41,28,26,30,28,25,32,31,28,27,24,27,30,24,32,30,33,38,35,43,39,38
29,10,24,29,50,41,42,31,37,37,27,35,42,34,23,27,22,32,25,50,48,52,42,42,90,60
39,65,32,41,42,51,28,35,30,26,27,27,32,30,27,23,33,17,32,26,36,45,29,34,39,40
41,39,36,43,38,36,33,52,41,40,29,27,35,19,26,29,58,30,20,32,28,33,31,36,33,29
50,57,42,36,54,30,30,48,41,35,28,25,25,19,25,33,75,29,29,25,25,29,21,29,35,30
41,47,48,43,46,27,32,43,44,38,30,24,20,23,29,33,50,36,30,24,21,22,26,44,41,27
36,45,44,36,45,30,36,41,51,68,40,29,23,31,33,37,53,54,33,28,21,16,25,30,30,29
41,55,41,45,53,30,31,48,54,39,31,27,29,21,26,34,36,38,28,20,25,26,18,20,25,23
47,60,52,36,75,42,35,53,31,48,34,33,41,30,30,43,57,33,35,26,44,30,29,20,27,36
41,80,48,56,50,45,35,46,51,40,33,35,36,30,31,38,52,37,31,29,40,28,28,28,23,22
70,65,50,55,58,33,39,53,50,39,35,31,33,27,39,39,60,37,27,29,30,24,25,40,25,21
